2026-02-24 17:22:40.203 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:22:52.205 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: NVDA
2026-02-24 17:22:52.840 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:23:04.841 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: AMZN
2026-02-24 17:23:05.429 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:23:17.432 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: GOOGL
2026-02-24 17:23:17.983 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:23:31.606 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: AAPL
2026-02-24 17:23:32.042 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:23:44.050 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: MSFT
2026-02-24 17:23:44.638 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:23:56.644 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: TSLA
2026-02-24 17:23:57.256 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:24:09.262 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: NVDA
2026-02-24 17:24:09.858 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:24:21.859 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: AMZN
2026-02-24 17:24:22.600 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:24:34.607 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: GOOGL
2026-02-24 17:24:35.230 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:24:47.233 | INFO     | src.extractor:fetch_stock_data:37 - Fetching data for symbol: BP.L
2026-02-24 17:24:47.905 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:32:48.724 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AAPL
2026-02-24 17:32:55.730 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:55.732 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing AAPL: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:55.732 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: MSFT
2026-02-24 17:32:57.238 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:57.238 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing MSFT: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:57.238 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: TSLA
2026-02-24 17:32:57.690 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:57.690 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing TSLA: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:57.690 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: NVDA
2026-02-24 17:32:58.354 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:58.354 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing NVDA: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:58.354 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AMZN
2026-02-24 17:32:59.049 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:59.049 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing AMZN: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:59.049 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: GOOGL
2026-02-24 17:32:59.532 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:59.532 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing GOOGL: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:32:59.532 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BP.L
2026-02-24 17:33:00.569 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:00.569 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing BP.L: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:00.569 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: HSBA.L
2026-02-24 17:33:01.486 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:01.487 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing HSBA.L: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:01.487 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: VOD.L
2026-02-24 17:33:02.464 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:02.464 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing VOD.L: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:02.464 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BARC.L
2026-02-24 17:33:03.316 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:03.316 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing BARC.L: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:03.316 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: LLOY.L
2026-02-24 17:33:04.083 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:33:04.083 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing LLOY.L: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:40:10.876 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AAPL
2026-02-24 17:40:11.779 | INFO     | src.extractor:fetch_incremental:65 - No new data for AAPL
2026-02-24 17:40:11.779 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:40:23.786 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: MSFT
2026-02-24 17:40:24.222 | INFO     | src.extractor:fetch_incremental:65 - No new data for MSFT
2026-02-24 17:40:24.222 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:40:36.226 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: TSLA
2026-02-24 17:40:36.428 | INFO     | src.extractor:fetch_incremental:65 - No new data for TSLA
2026-02-24 17:40:36.428 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:40:48.432 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: NVDA
2026-02-24 17:40:48.777 | INFO     | src.extractor:fetch_incremental:65 - No new data for NVDA
2026-02-24 17:40:48.777 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:41:00.777 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AMZN
2026-02-24 17:41:01.209 | INFO     | src.extractor:fetch_incremental:65 - No new data for AMZN
2026-02-24 17:41:01.209 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:41:13.220 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: GOOGL
2026-02-24 17:41:13.540 | INFO     | src.extractor:fetch_incremental:65 - No new data for GOOGL
2026-02-24 17:41:13.540 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:41:25.542 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BP.L
2026-02-24 17:41:26.127 | INFO     | src.extractor:fetch_incremental:65 - No new data for BP.L
2026-02-24 17:41:26.127 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:41:38.128 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: HSBA.L
2026-02-24 17:41:38.614 | INFO     | src.extractor:fetch_incremental:65 - No new data for HSBA.L
2026-02-24 17:41:38.614 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:41:50.626 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: VOD.L
2026-02-24 17:41:51.278 | INFO     | src.extractor:fetch_incremental:65 - No new data for VOD.L
2026-02-24 17:41:51.278 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:42:03.279 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BARC.L
2026-02-24 17:42:03.822 | INFO     | src.extractor:fetch_incremental:65 - No new data for BARC.L
2026-02-24 17:42:03.822 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:42:15.823 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: LLOY.L
2026-02-24 17:42:16.238 | INFO     | src.extractor:fetch_incremental:65 - No new data for LLOY.L
2026-02-24 17:42:16.238 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:43:28.496 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AAPL
2026-02-24 17:43:29.457 | INFO     | src.extractor:fetch_incremental:65 - No new data for AAPL
2026-02-24 17:43:29.457 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:43:29.459 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for AAPL
2026-02-24 17:43:41.458 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: MSFT
2026-02-24 17:43:41.870 | INFO     | src.extractor:fetch_incremental:65 - No new data for MSFT
2026-02-24 17:43:41.872 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:43:41.872 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for MSFT
2026-02-24 17:43:53.871 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: TSLA
2026-02-24 17:43:54.093 | INFO     | src.extractor:fetch_incremental:65 - No new data for TSLA
2026-02-24 17:43:54.093 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:43:54.093 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for TSLA
2026-02-24 17:44:06.093 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: NVDA
2026-02-24 17:44:06.385 | INFO     | src.extractor:fetch_incremental:65 - No new data for NVDA
2026-02-24 17:44:06.401 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:44:06.401 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for NVDA
2026-02-24 17:44:18.400 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AMZN
2026-02-24 17:44:18.684 | INFO     | src.extractor:fetch_incremental:65 - No new data for AMZN
2026-02-24 17:44:18.686 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:44:18.686 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for AMZN
2026-02-24 17:44:30.686 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: GOOGL
2026-02-24 17:44:30.961 | INFO     | src.extractor:fetch_incremental:65 - No new data for GOOGL
2026-02-24 17:44:30.961 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:44:30.961 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for GOOGL
2026-02-24 17:44:42.968 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BP.L
2026-02-24 17:44:43.391 | INFO     | src.extractor:fetch_incremental:65 - No new data for BP.L
2026-02-24 17:44:43.392 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:44:43.393 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for BP.L
2026-02-24 17:44:55.391 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: HSBA.L
2026-02-24 17:44:55.930 | INFO     | src.extractor:fetch_incremental:65 - No new data for HSBA.L
2026-02-24 17:44:55.931 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:44:55.932 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for HSBA.L
2026-02-24 17:45:07.931 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: VOD.L
2026-02-24 17:45:08.378 | INFO     | src.extractor:fetch_incremental:65 - No new data for VOD.L
2026-02-24 17:45:08.380 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:45:08.380 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for VOD.L
2026-02-24 17:45:20.378 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: BARC.L
2026-02-24 17:45:20.941 | INFO     | src.extractor:fetch_incremental:65 - No new data for BARC.L
2026-02-24 17:45:20.943 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:45:20.944 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for BARC.L
2026-02-24 17:45:32.942 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: LLOY.L
2026-02-24 17:45:33.307 | INFO     | src.extractor:fetch_incremental:65 - No new data for LLOY.L
2026-02-24 17:45:33.307 | WARNING  | src.loader:load_to_parquet:25 - No new data to write - skipping Parquet load.
2026-02-24 17:45:33.307 | INFO     | src.orchestrator:run_pipeline:41 - Successfully loaded new data for LLOY.L
2026-02-24 17:46:56.728 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: AAPL
2026-02-24 17:46:57.858 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:46:57.858 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing AAPL: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:46:57.858 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: MSFT
2026-02-24 17:46:58.564 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:46:58.564 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing MSFT: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:46:58.564 | INFO     | src.extractor:fetch_incremental:41 - Fetching data for symbol: TSLA
2026-02-24 17:46:58.880 | ERROR    | src.loader:load_to_parquet:33 - Failed converting DatafFrame to Arrow Table: 'builtin_function_or_method' object has no attribute 'from_pandas'
2026-02-24 17:46:58.880 | ERROR    | src.orchestrator:run_pipeline:45 - Error processing TSLA: 'builtin_function_or_method' object has no attribute 'from_pandas'
